	Taxon	Confidence
0195da4330778e1705eec2cae820cd00	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetales_fam_Incertae_sedis;g__Candida;s__Candida_argentea	0.93572347572463
0197b05d3f71e495aa4b01234d4ee2aa	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Teratosphaeriaceae;g__Elasticomyces;s__Elasticomyces_elasticus	0.999998555621338
019e0e63648d3a372874f8e80726effb	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Teratosphaeriaceae;g__unidentified;s__unidentified	0.934514462037389
019ff2bac95e9e635b1279b537debfe2	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleribasidiaceae;g__Vishniacozyma;s__Vishniacozyma_victoriae	0.998504357560651
01a55b35e745cb77f61d023fc440f269	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__Fomitopsidaceae;g__Fomitopsis;s__Fomitopsis_pinicola	0.941342972243389
01a65a75443f5a3231857355486a56b7	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Lentitheciaceae;g__Keissleriella;s__Keissleriella_dactylis	0.916220035458565
01a8fef697398039f4ebd1b6edc07976	k__Fungi;p__Ascomycota	0.996815448747187
01bff6b8e0843162688e02eeb9f51b98	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Venturiales;f__Venturiaceae;g__Venturia	0.936277376530789
01cacf96e7fa2e5878c556340e95a4fa	k__Fungi;p__Basidiomycota;c__Pucciniomycetes;o__Pucciniales;f__Pucciniaceae;g__Puccinia;s__Puccinia_coronata	0.999975436918315
01cc7a65a1602d4b661c0f85e776799a	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiaceae	0.997027645317744
01e3f4b91e6bbd9cb850bbb45de5a8c5	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae	0.875493612354821
01e7d02d499ad0c882b05aecf92693f8	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;g__Cladosporium;s__Cladosporium_cladosporioides	0.977788614876136
01efd8551112c88debad184b99c7a171	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales	0.983844727861457
01f4bf17ff81ad9b37d84d0da7f32c97	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Auriculariales;f__Exidiaceae;g__Exidia;s__unidentified	0.728050299880051
01f5b46c0961fb5f7b8a4ffd3ce14b37	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Comoclathris;s__unidentified	0.999900053909398
0203b42e2163943c306705f74c985dca	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Hymenochaetales;f__Schizoporaceae;g__Hyphodontia;s__Hyphodontia_crustosa	0.999956998270093
0204403c495d52f5313828a89c5e126b	k__Fungi;p__Ascomycota	0.910904267558479
02122a1564c31aad6cc1ea853d084a24	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Sebacinales;f__Sebacinaceae;g__Chaetospermum;s__unidentified	0.999999997948919
021d5f64d8e94dd1bf4aceab0b5cfa38	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleribasidiaceae;g__Dioszegia;s__Dioszegia_butyracea	0.963405771368872
022ec0b4d611f700da739dd985d028f3	k__Fungi;p__Basidiomycota;c__Pucciniomycetes;o__Pucciniales;f__Pucciniaceae;g__Puccinia;s__Puccinia_striiformis	0.910645095618681
023acf66fd8771fa5f494e987bb6c011	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Leptosphaeriaceae;g__Ampelomyces;s__Ampelomyces_quisqualis	0.825575628944416
024ed8375619805471c41e83470b7626	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales	0.999999883438876
0252f7afae07ea6e51ef5f2ee03ba7c8	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleribasidiaceae;g__Vishniacozyma;s__Vishniacozyma_victoriae	0.998844715859846
